t(s),Joint Value - q [°],Joint Speed - dq/dt [°/s],Joint Accel - d²q/dt² [°/s²],Joint Torque - N [N·m]
0,90,-3.27984,-0.45281,12.1522
0.098493,89.677,-3.32444,-0.676292,12.2669
0.196986,89.3451,-3.41306,-0.897378,12.3837
0.295479,89.0046,-3.50121,-0.894205,12.5079
0.393972,88.6554,-3.58921,-0.890766,12.634
0.492465,88.2976,-3.67668,-0.885329,12.7622
0.590958,87.9312,-3.76361,-0.879667,12.8924
0.689451,87.5562,-3.84996,-0.873771,13.0246
0.787944,87.1728,-3.93573,-0.867635,13.1587
0.886437,86.7809,-4.02088,-0.861256,13.2947
0.98493,86.3807,-4.10538,-0.854628,13.4326
1.08342,85.9722,-4.18923,-0.847748,13.5725
1.18192,85.5555,-4.27238,-0.840613,13.7142
1.28041,85.1306,-4.35481,-0.833222,13.8578
1.3789,84.6977,-4.43651,-0.825572,14.0031
1.47739,84.2567,-4.51744,-0.817665,14.1503
1.57589,83.8078,-4.59758,-0.8095,14.2993
1.67438,83.3511,-4.6769,-0.801079,14.4499
1.77287,82.8865,-4.75538,-0.792405,14.6023
1.87137,82.4143,-4.83299,-0.78348,14.7564
1.96986,81.9345,-4.90972,-0.77431,14.9121
2.06835,81.4472,-4.98552,-0.764897,15.0695
2.16685,80.9524,-5.06039,-0.75525,15.2284
2.26534,80.4503,-5.1343,-0.745373,15.3889
2.36383,79.941,-5.20722,-0.735274,15.5509
2.46232,79.4246,-5.27913,-0.724962,15.7143
2.56082,78.9011,-5.35002,-0.714445,15.8792
2.65931,78.3707,-5.41987,-0.703732,16.0455
2.7578,77.8335,-5.48865,-0.692835,16.2131
2.8563,77.2895,-5.55635,-0.680006,16.3822
2.95479,76.739,-5.6226,-0.66802,16.5525
3.05328,76.182,-5.68794,-0.659812,16.7236
3.15177,75.6185,-5.75257,-0.649785,16.896
3.25027,75.0488,-5.81594,-0.637337,17.0698
3.34876,74.4729,-5.87812,-0.625544,17.2446
3.44725,73.8909,-5.93916,-0.614688,17.4203
3.54575,73.3029,-5.99921,-0.601354,17.5972
3.64424,72.7091,-6.05762,-0.585853,17.7753
3.74273,72.1097,-6.11461,-0.5745,17.9538
3.84123,71.5046,-6.17079,-0.564307,18.133
3.93972,70.8941,-6.22577,-0.552202,18.3132
4.03821,70.2782,-6.27956,-0.540093,18.4941
4.1367,69.6571,-6.33216,-0.527999,18.6756
4.2352,69.0309,-6.38357,-0.515934,18.8578
4.33369,68.3996,-6.43379,-0.503915,19.0405
4.43218,67.7635,-6.48284,-0.491958,19.2237
4.53068,67.1226,-6.5307,-0.48008,19.4074
4.62917,66.4771,-6.5774,-0.468296,19.5915
4.72766,65.827,-6.62295,-0.456624,19.7758
4.82615,65.1724,-6.66735,-0.44508,19.9605
4.92465,64.5136,-6.71062,-0.433678,20.1454
5.02314,63.8505,-6.75278,-0.422436,20.3304
5.12163,63.1834,-6.79384,-0.411368,20.5156
5.22013,62.5122,-6.83382,-0.40049,20.7008
5.31862,61.8372,-6.87273,-0.389816,20.886
5.41711,61.1584,-6.9106,-0.379362,21.0712
5.51561,60.4759,-6.94746,-0.369142,21.2562
5.6141,59.7899,-6.98332,-0.35917,21.4411
5.71259,59.1003,-7.01821,-0.349459,21.6257
5.81108,58.4074,-7.05216,-0.340023,21.8101
5.90958,57.7111,-7.08519,-0.330875,21.9942
6.00807,57.0117,-7.11734,-0.322028,22.1779
6.10656,56.3091,-7.14863,-0.313494,22.3611
6.20506,55.6035,-7.17909,-0.305285,22.5439
6.30355,54.8949,-7.20876,-0.297413,22.7262
6.40204,54.1835,-7.23768,-0.289888,22.9078
6.50054,53.4692,-7.26587,-0.282724,23.0889
6.59903,52.7522,-7.29337,-0.275929,23.2693
6.69752,52.0325,-7.32022,-0.269515,23.4489
6.79601,51.3102,-7.34646,-0.263492,23.6278
6.89451,50.5854,-7.37212,-0.257871,23.8058
6.993,49.858,-7.39726,-0.252661,23.983
7.09149,49.1282,-7.42189,-0.247872,24.1593
7.18999,48.396,-7.44608,-0.243515,24.3347
7.28848,47.6615,-7.46986,-0.2396,24.509
7.38697,46.9246,-7.49328,-0.236135,24.6824
7.48546,46.1854,-7.51638,-0.233133,24.8546
7.58396,45.4439,-7.5392,-0.230602,25.0257
7.68245,44.7003,-7.5618,-0.228553,25.1957
7.78094,43.9544,-7.58423,-0.226997,25.3645
7.87944,43.2063,-7.60652,-0.225946,25.5321
7.97793,42.456,-7.62873,-0.225411,25.6984
8.07642,41.7035,-7.65092,-0.225404,25.8634
8.17492,40.9489,-7.67314,-0.225939,26.0271
8.27341,40.192,-7.69543,-0.227029,26.1894
8.3719,39.433,-7.71786,-0.228688,26.3503
8.47039,38.6717,-7.74048,-0.230932,26.5098
8.56889,37.9082,-7.76335,-0.233781,26.6678
8.66738,37.1424,-7.78653,-0.237248,26.8243
8.76587,36.3744,-7.81008,-0.241352,26.9792
8.86437,35.604,-7.83407,-0.246121,27.1326
8.96286,34.8312,-7.85856,-0.251575,27.2844
9.06135,34.0559,-7.88363,-0.257739,27.4346
9.15984,33.2782,-7.90934,-0.264639,27.5831
9.25834,32.4979,-7.93576,-0.272308,27.7299
9.35683,31.715,-7.96298,-0.280778,27.875
9.45532,30.9293,-7.99107,-0.290087,28.0184
9.55382,30.1409,-8.02012,8.17222,28.4342
9.65231,29.3495,-6.38126,18.4184,28.863
9.7508,28.5631,-3.46625,36.1375,29.5175
9.89956,28.6498,0.913075,20.3927,28.9723
10.0029,28.7914,1.6332,6.22693,28.4307
10.1042,28.9883,2.20377,5.04011,28.3452
10.2081,29.2431,2.66608,3.89202,28.2388
10.3118,29.5421,3.01215,3.61338,28.1243
10.4155,29.879,3.42894,3.62924,27.9979
10.523,30.2603,3.77234,2.80766,27.8451
10.6287,30.6702,4.01784,2.63582,27.6866
10.731,31.1022,4.32461,3.51291,27.5284
10.8348,31.5741,4.75207,3.02029,27.3382
10.9416,32.0881,4.95122,1.13658,27.1145
11.0452,32.6069,4.98916,1.17532,26.9056
11.147,33.1279,5.19618,0.545392,26.6864
11.2518,33.6673,5.10045,-0.545906,26.4518
11.3541,34.1904,5.08246,-0.3556,26.2344
11.4576,34.7121,5.02735,-1.2544,26.0037
11.5609,35.2193,4.82573,-2.30828,25.7748
11.6621,35.6955,4.55698,-2.95747,25.5609
11.7625,36.1414,4.22727,-3.14721,25.3623
11.8637,36.5576,3.91507,-2.84958,25.1793
11.9672,36.9458,3.64181,-2.9226,25.0029
12.0715,37.3053,3.31507,-2.7224,24.8405
12.1733,37.6311,3.07903,-2.21613,24.6955
12.2757,37.9356,2.86144,-2.03462,24.5559
12.3787,38.2195,2.66061,-1.46961,24.4287
12.4818,38.4836,2.55871,-2.53619,24.2932
12.5849,38.7286,2.15602,-1.26079,24.1891
12.6807,38.9411,2.29119,0.179296,24.1014
12.7898,39.1824,2.19153,-0.157158,23.9807
12.8921,39.4152,2.25719,0.955969,23.879
12.9993,39.6655,2.39613,0.942878,23.7568
13.111,39.9336,2.46121,0.627883,23.6217
13.2202,40.2033,2.53333,0.685611,23.4887
13.327,40.4748,2.60767,0.345781,23.3498
13.4314,40.7484,2.60561,0.379962,23.2126
13.5337,41.0242,2.68779,1.15355,23.0803
13.6401,41.3201,2.851,1.14548,22.9291
13.7505,41.6366,2.93383,0.759461,22.7622
13.8589,41.9567,3.01578,0.705438,22.5952
13.9654,42.2805,3.08445,0.678465,22.4249
14.0706,42.6089,3.15925,0.703485,22.2511
14.1755,42.9453,3.23249,0.639068,22.0705
14.2808,43.2906,3.29403,0.516173,21.8828
14.3868,43.6446,3.34207,0.385756,21.6883
14.4938,44.007,3.37671,0.714614,21.491
14.6021,44.3774,3.49715,0.624375,21.2833
14.7122,44.7555,3.51035,-0.431032,21.0607
14.8178,45.1192,3.40607,-0.568719,20.8513
14.9191,45.4671,3.39154,-0.148297,20.6533
15.0224,45.82,3.37543,0.460158,20.4511
15.1277,46.1774,3.48837,-0.541099,20.2312
15.2349,46.5373,3.26416,-1.15567,20.0092
15.3352,46.8702,3.24307,0.0349381,19.8148
15.4403,47.2143,3.27145,-0.143879,19.6004
15.5487,47.5639,3.21256,-0.583197,19.3772
15.6557,47.9024,3.14654,-0.657698,19.1604
15.7614,48.23,3.07332,-0.732855,18.9473
15.8661,48.5469,2.99285,-0.80839,18.7379
15.9701,48.8531,2.90502,-0.873461,18.5323
16.0736,49.1488,2.81189,-0.902279,18.3307
16.1768,49.4339,2.71867,-0.965864,18.1328
16.2799,49.7081,2.61317,-1.07811,17.9387
16.3824,49.9698,2.49756,-1.16172,17.7503
16.4844,50.2184,2.37581,-1.21799,17.5683
16.5862,50.4541,2.24927,-1.25998,17.3926
16.688,50.6771,2.11886,-1.28838,17.2233
16.7902,50.8876,1.98571,-1.30323,17.0606
16.8929,51.0857,1.85073,-1.30171,16.9045
16.9965,51.2715,1.71565,-1.27117,16.7553
